asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
ETH/USDT,short,supertrend_short,2024-06-24T04:00:00+00:00,2024-06-27T12:00:00+00:00,20,3367.5054050000003,3452.3783223133546,-0.02520349846724426,-0.006800874616811064,stop
ETH/USDT,short,supertrend_short,2024-07-03T04:00:00+00:00,2024-07-08T08:00:00+00:00,31,3350.5239,3085.599914964764,0.07906942106434041,0.019267355266085102,stop
BTC/USDT,short,supertrend_short,2024-07-03T04:00:00+00:00,2024-07-10T04:00:00+00:00,42,60839.574995,58426.71373412651,0.03965940362127428,0.009414850905318569,stop
BTC/USDT,long,supertrend,2024-07-26T04:00:00+00:00,2024-07-29T16:00:00+00:00,21,66924.00528,66889.91093350865,-0.0005094486850973403,-0.0006273621712743351,stop
ETH/USDT,short,supertrend_short,2024-08-01T00:00:00+00:00,2024-08-08T20:00:00+00:00,47,3176.63089,2650.7650653067312,0.1655419980800063,0.040885499520001575,stop
BTC/USDT,short,supertrend_short,2024-08-15T08:00:00+00:00,2024-08-20T00:00:00+00:00,28,58715.98732,60643.99527271704,-0.03283616678724084,-0.008709041696810211,stop
ETH/USDT,short,supertrend_short,2024-08-15T20:00:00+00:00,2024-08-23T16:00:00+00:00,47,2568.605055,2714.1656571123863,-0.056669125457430934,-0.014667281364357734,stop
ETH/USDT,short,supertrend_short,2024-08-27T12:00:00+00:00,2024-09-09T20:00:00+00:00,80,2578.0103500000005,2381.733385743815,0.07613505673326162,0.018533764183315406,stop
BTC/USDT,short,supertrend_short,2024-09-16T16:00:00+00:00,2024-09-17T12:00:00+00:00,5,57915.018005,60132.2194603433,-0.03828370484408526,-0.010070926211021316,stop
ETH/USDT,short,supertrend_short,2024-09-16T00:00:00+00:00,2024-09-19T00:00:00+00:00,18,2277.2408100000002,2398.040736069725,-0.053046619197784674,-0.013761654799446169,stop
BTC/USDT,long,supertrend,2024-10-07T04:00:00+00:00,2024-10-09T12:00:00+00:00,14,63563.75599499999,61683.2551012777,-0.02958448355176208,-0.00789612088794052,stop
