entry_ts,exit_ts,side,setup_name,entry_price,exit_price,gross_return_pct,fees_total,slippage_total,net_return_pct,holding_bars,exit_reason,entry_rsi,entry_ema_fast,entry_ema_slow,entry_ema_pull,entry_atr,entry_vwap,entry_ema_slope,entry_atr_pct,entry_vwap_distance_pct,entry_volume_zscore,markov_state,markov_stable_state,markov_regime_score,markov_size_multiplier,markov_allowed_setups,position_size_effective,size_multiplier
2024-12-21T04:00:00+00:00,2024-12-21T08:00:00+00:00,long,breakout,99089.51999999999,98212.94896000001,-0.008846253771337078,0.001,0.0005,-0.005423126885668539,1,trail_exit,46.81804208020491,100759.29722068702,96319.63144254872,99552.67370193402,2269.433526016976,98254.11689116232,-0.006626090326969258,0.022914312661722294,0.007998475114363005,-0.6725978402079912,,,1.0,1.0,,0.5,1.0
2025-01-18T20:00:00+00:00,2025-01-19T20:00:00+00:00,long,breakout,104608.50811499999,103089.21798881424,-0.014523580859365054,0.001,0.0005,-0.008261790429682527,6,stop,66.90287994766493,99333.32723339976,97036.95347432292,101898.76588371459,1520.6545173947545,103743.15483825831,0.010551865039153396,0.014543892003324475,0.007837386119684858,-1.2734745931348843,,,1.0,1.0,,0.5,1.0
2025-01-21T08:00:00+00:00,2025-01-22T12:00:00+00:00,long,breakout,103810.12912499999,104299.88522418085,0.004717806473307928,0.001,0.0005,0.001358903236653964,7,stop,51.86424952056155,101505.01205244272,98038.69818305703,103487.5469520394,2725.7738936176856,102386.60670842114,0.003110991395926188,0.026270430482565825,0.013396706226284628,-0.3901608837942232,,,1.0,1.0,,0.5,1.0
2025-01-27T20:00:00+00:00,2025-01-28T00:00:00+00:00,long,breakout,102133.871415,102585.00184000001,0.004417050080936759,0.001,0.0005,0.0012085250404683793,1,trail_exit,46.51729878102657,103065.56032885447,99918.38211634613,102763.53931447181,1854.0260920701487,100272.95443925602,-0.006125115091207056,0.01816197779852056,0.01804948872669728,0.2289506958454025,,,1.0,1.0,,0.5,1.0
2025-03-02T16:00:00+00:00,2025-03-03T16:00:00+00:00,short,pullback_short,93475.239,85648.803,0.08372737083881648,0.001,0.0005,0.04086368541940824,6,target_rsi,71.64838963252245,88417.3643521493,94239.4152228988,86463.78332554895,2223.5982366488092,90058.33959062197,-0.0011285695208654856,0.023776204921289207,0.038460185088052795,2.7293543244557363,,,1.0,1.0,,0.5,1.0
2025-03-04T08:00:00+00:00,2025-03-04T16:00:00+00:00,short,breakout_short,83895.97103,86743.69200247654,-0.033943477112366185,0.001,0.0005,-0.017971738556183094,2,stop,40.621660948854554,88298.35668059856,93683.01865885625,87071.87001471686,2447.1554295089763,84122.90274951476,-0.009346374963922988,0.02915434223795552,-0.0021987204847829004,-0.5056834174565733,,,1.0,1.0,,0.5,1.0
2025-03-07T00:00:00+00:00,2025-03-07T08:00:00+00:00,short,breakout_short,86947.754375,88790.2731359813,-0.021191102337555914,0.001,0.0005,-0.011595551168777956,2,stop,45.53683674709287,88664.74131181616,92980.26675694947,88783.9722044772,2704.5251815452343,87647.09999999999,0.001957493634811014,0.03108962316951687,-0.007482848833560852,2.553647783284554,,,1.0,1.0,,0.5,1.0
2025-03-19T20:00:00+00:00,2025-03-24T12:00:00+00:00,short,pullback_short,86802.51703,88412.4134834937,-0.01854665634796393,0.001,0.0005,-0.010273328173981966,28,stop,69.1188487625908,83753.10552302895,87886.86600895227,83826.9078570215,1268.5744740077562,84583.09343322726,0.0030091406020518185,0.014607182258695757,0.02675294169229115,0.32562390489988174,,,1.0,1.0,,0.5,1.0
2025-03-29T16:00:00+00:00,2025-03-31T12:00:00+00:00,short,breakout_short,82717.0208,83408.35023977625,-0.008357765222804677,0.001,0.0005,-0.005178882611402339,11,stop,32.212336390523035,85342.38457576175,86870.81380547349,84875.00862999473,1012.4263498903654,82933.68889147737,-0.0059376456950253065,0.012233517683889073,-0.0021136029738982563,-0.37368496064228623,,,1.0,1.0,,0.5,1.0
2025-04-22T08:00:00+00:00,2025-04-27T12:00:00+00:00,long,breakout,88658.40705,93627.52099021782,0.056047859481790946,0.001,0.0005,0.027023929740895472,31,stop,71.71008612504016,85326.28391209937,84513.96091159558,86541.40985991154,922.4222819360339,88214.61549841888,0.007152422750354548,0.010409430123829434,0.004528552318955468,-0.1329606526560436,,,1.0,1.0,,0.5,1.0
2025-05-09T04:00:00+00:00,2025-05-12T12:00:00+00:00,long,breakout,103680.584385,103036.38819515423,-0.006213276995562207,0.001,0.0005,-0.004106638497781104,20,stop,77.7360069413352,96898.16448394785,91683.64233583535,98842.3834259414,1282.815857349755,103162.23250447906,0.012580222891690918,0.012378954776262953,0.004522367189956702,1.0433401600315726,,,1.0,1.0,,0.5,1.0
2025-05-31T00:00:00+00:00,2025-06-03T12:00:00+00:00,long,pullback,103735.852005,106557.35467000002,0.027198915422837876,0.001,0.0005,0.012599457711418939,21,target_rsi,31.239025109335003,107179.25956367233,102555.48505363196,106417.14085196616,1333.0843469118329,103681.75000000001,-0.005097801199109964,0.012857183541722904,2.1797471589553698e-05,0.021201960443202127,,,1.0,1.0,,0.5,1.0
2025-06-16T12:00:00+00:00,2025-06-17T00:00:00+00:00,long,breakout,107478.67248,106299.37472843591,-0.010972388515345025,0.001,0.0005,-0.0064861942576725125,3,stop,61.0165938685176,106232.80155391403,104721.74022596549,106073.98841476483,994.8659048829752,106709.45518118818,0.0007955261197511998,0.009261031187565489,0.006705167949709108,0.7766025222802996,,,1.0,1.0,,0.5,1.0
2025-06-18T00:00:00+00:00,2025-06-18T04:00:00+00:00,long,breakout,105237.43242,104920.75338000001,-0.003009186301088475,0.001,0.0005,-0.0025045931505442375,1,trail_exit,45.49714783024407,106127.63261460821,104829.96760448423,105870.42591730318,1202.6195633030316,104934.78666666668,-0.0026446346222918082,0.01143339252408457,0.0023829403125164633,-0.7279212510116528,,,1.0,1.0,,0.5,1.0
2025-07-06T20:00:00+00:00,2025-07-07T12:00:00+00:00,long,breakout,109258.44192,108457.6172127362,-0.0073296368975330544,0.001,0.0005,-0.004664818448766527,4,stop,60.02523307532313,107885.4920807167,106177.72581055945,108347.95415173276,686.1393430646051,108633.3186671392,0.0014177090299660744,0.0062831063730415075,0.005251808007531412,0.5081741213181047,,,1.0,1.0,,0.5,1.0
2025-07-23T20:00:00+00:00,2025-07-24T04:00:00+00:00,long,breakout,118815.367995,118415.9981412117,-0.00336126429204928,0.001,0.0005,-0.00268063214602464,2,stop,52.475622918519214,117997.94739829637,113138.42838846764,118473.86733500037,1328.7028582864289,118374.44762937388,0.0009929055792610164,0.01118851232924275,0.003223181845973349,-0.5273500325277647,,,1.0,1.0,,0.5,1.0
2025-07-25T04:00:00+00:00,2025-07-27T12:00:00+00:00,long,pullback,115377.67000499999,118526.44713000002,0.02729104448775545,0.001,0.0005,0.012645522243877726,14,target_rsi,31.899142429280175,117924.45275550848,113497.11722986314,118000.11189064446,1386.2897003417945,115955.9950412973,-0.0011065774768130865,0.012021241589744873,-0.0054847103081716395,2.1682561714159982,,,1.0,1.0,,0.5,1.0
2025-08-01T04:00:00+00:00,2025-08-01T16:00:00+00:00,long,pullback,115139.310885,113627.41832919049,-0.013130984927637533,0.001,0.0005,-0.007565492463818766,3,stop,31.537913431319183,117737.71132308515,114976.15910096772,117384.19166238325,1164.5912838165045,115292.9513167854,-0.0027771927921579342,0.01011968519268086,-0.0018316932160505135,0.10795194005099988,,,1.0,1.0,,0.5,1.0
2025-08-03T08:00:00+00:00,2025-08-03T12:00:00+00:00,long,breakout,113919.11108999999,113902.08047,-0.00014949747972081416,0.001,0.0005,-0.001074748739860407,1,trail_exit,40.45721295397013,116063.47602191089,114815.24848081799,114653.47940771525,1129.290031945152,113425.49663566536,-0.005389026471559477,0.00991804330415202,0.0038499577016383327,-1.0609675180244285,,,1.0,1.0,,0.5,1.0
